npi,tier,hospital_affiliated,known_autonomic_biller,state,taxonomy
1447712229,off-grid,Y,N,MA,Physician Assistant
1073040333,off-grid,N,N,MA,Internal Medicine - Pulmonary Disease
1831446962,off-grid,Y,N,MA,Physician Assistant - Medical
1356025837,T3,N,N,NH,Nurse Practitioner - Psychiatric/Mental Health
1780718031,T1,N,N,MA,Social Worker - Clinical
1871602516,T5,N,N,MA,Psychologist - Clinical
1366004558,off-grid,N,N,MA,Physician Assistant
1790216307,off-grid,Y,N,MA,Social Worker - Clinical
1962870485,T1,N,N,NJ,Counselor - Mental Health
1508029455,off-grid,Y,N,RI,Psychiatry & Neurology - Psychiatry
1386639011,off-grid,N,N,NY,Pediatrics
1821472952,off-grid,N,N,MA,Counselor - Mental Health
1396731659,off-grid,N,N,MA,Obstetrics & Gynecology
1609033190,off-grid,N,N,RI,Family Medicine
1932176070,off-grid,Y,N,MA,Radiology - Diagnostic Radiology
1033211495,T5,N,N,MA,Family Medicine
1144269143,off-grid,N,N,MA,Internal Medicine - Gastroenterology
1700396132,off-grid,Y,N,NH,Nurse Practitioner
1518304567,off-grid,N,N,MA,Physician Assistant
1922758515,off-grid,Y,N,MA,Dermatology
1780715680,off-grid,N,N,CO,Audiologist
1770093866,off-grid,N,N,MA,Physician Assistant
1114273505,T1,N,N,NJ,Counselor
1497062897,T1,N,N,VT,Social Worker - Clinical
1780433474,off-grid,N,N,RI,Nurse Practitioner
1386670677,off-grid,Y,N,FL,Internal Medicine - Gastroenterology
1972281871,T1,N,N,MA,Counselor - Mental Health
1487752119,T1,N,N,RI,Counselor - Mental Health
1578722690,off-grid,Y,N,MA,Physician Assistant - Surgical
1710731765,T1,N,N,NH,Counselor - Mental Health
1548704182,T1,N,N,MA,Social Worker - Clinical
1962066738,T3,N,N,OR,Nurse Practitioner - Psychiatric/Mental Health
1659873487,T1,N,N,MA,Counselor - Mental Health
1326016742,T4,N,N,VT,Dermatology
1700453941,off-grid,N,N,ME,Family Medicine
1235107251,off-grid,N,N,MA,Nurse Practitioner - Adult Health
1962103713,T3,N,N,MA,Nurse Practitioner - Psychiatric/Mental Health
1588601512,off-grid,N,N,RI,Pediatrics
1144593864,T1,N,N,MA,Counselor - Mental Health
1528765815,T1,N,N,MA,Counselor - Mental Health
1356639702,off-grid,Y,N,MA,Internal Medicine
1942467956,off-grid,Y,N,RI,Marriage & Family Therapist
1629341813,T5,N,N,RI,Family Medicine - Adult Medicine
1952785982,off-grid,N,N,MA,Internal Medicine
1891040689,off-grid,N,N,NE,Radiology - Diagnostic Radiology
1821535279,off-grid,Y,N,MA,Nurse Practitioner
1376225979,off-grid,Y,N,MA,Physician Assistant - Surgical
1437942190,T3,N,N,RI,Nurse Practitioner - Family
1255369575,off-grid,N,N,ME,Internal Medicine
1316365513,off-grid,N,N,NH,Physical Medicine & Rehabilitation
1942875273,off-grid,N,N,MA,Pediatrics
1275558652,off-grid,Y,N,MA,Physician Assistant - Medical
1558324772,off-grid,N,N,ME,Nurse Practitioner - Pediatrics
1164544847,off-grid,N,N,MA,Optometrist
1871652156,T5,N,N,MA,Psychologist - Clinical
1376072595,T3,N,N,RI,Physician Assistant
1073758579,T5,N,N,NY,Internal Medicine - Hospice and Palliative Medicine
1578856241,T5,N,N,MA,Internal Medicine - Cardiovascular Disease
1558647362,off-grid,N,N,NH,Counselor - Mental Health
1689657306,off-grid,N,N,RI,Neurological Surgery
1790981876,off-grid,N,N,NJ,Internal Medicine - Pulmonary Disease
1942653688,off-grid,N,N,RI,Nurse Practitioner
1912719618,off-grid,N,N,MA,Nurse Practitioner
1356422331,T1,N,N,MA,Social Worker - Clinical
1043465818,T1,N,N,CT,Social Worker - Clinical
1003556291,off-grid,N,N,ME,Internal Medicine - Geriatric Medicine
1043315476,off-grid,Y,N,RI,Nurse Practitioner - Adult Health
1932635562,T5,N,N,RI,Family Medicine
1669635124,off-grid,Y,N,MA,Internal Medicine - Nephrology
1154531101,T5,N,N,MA,Psychologist - Clinical
1821592197,off-grid,N,N,MA,Family Medicine
1174046916,off-grid,N,N,RI,Internal Medicine
1053861021,T1,N,N,TN,Social Worker - Clinical
1962593129,T5,N,N,RI,"Dietitian, Registered"
1053966929,T1,N,N,NH,Social Worker
1437174547,off-grid,N,N,MA,Optometrist
1609200633,off-grid,N,N,GA,Radiology - Vascular & Interventional Radiology
1588682082,off-grid,Y,N,MA,Internal Medicine - Cardiovascular Disease
1235129412,off-grid,Y,N,MA,Internal Medicine
1124487384,off-grid,N,N,MA,Nurse Practitioner - Pediatrics
1366981961,T1,N,N,MA,Counselor - Mental Health
1992723134,off-grid,Y,N,NH,Radiology - Diagnostic Radiology
